[32m2023-04-13 11:15:57.456[0;39m [INFO] com.tradeteam.OrderBookEurekaServer.OrderBookEurekaServerApplication [main] Starting OrderBookEurekaServerApplication using Java 19 with PID 900 (C:\Users\jbritland\Documents\OrderBook\OrderBookEurekaServer\target\classes started by jbritland in C:\Users\jbritland\Documents\OrderBook\OrderBookEurekaServer)
[32m2023-04-13 11:16:04.213[0;39m [INFO] com.tradeteam.OrderBookEurekaServer.OrderBookEurekaServerApplication [main] Started OrderBookEurekaServerApplication in 7.827 seconds (process running for 8.863)
[32m2023-04-13 11:16:49.941[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8761-exec-1] Initializing Spring DispatcherServlet 'dispatcherServlet'
[32m2023-04-13 11:16:49.942[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8761-exec-1] Initializing Servlet 'dispatcherServlet'
[32m2023-04-13 11:16:49.943[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8761-exec-1] Completed initialization in 1 ms
[32m2023-04-13 13:01:48.903[0;39m [INFO] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry [SpringApplicationShutdownHook] Unregistering application UNKNOWN with eureka with status DOWN
[32m2023-04-13 13:01:48.948[0;39m [INFO] org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap [SpringApplicationShutdownHook] Shutting down Eureka Server..
[32m2023-04-13 13:01:48.960[0;39m [INFO] com.netflix.servo.monitor.StatsMonitor [SpringApplicationShutdownHook] Attempting to get the value for an expired monitor: eurekaServer.replication.batchSize.Will start computing stats again.
[32m2023-04-13 13:01:48.967[0;39m [INFO] com.netflix.servo.monitor.StatsMonitor [SpringApplicationShutdownHook] Attempting to get the value for an expired monitor: eurekaServer.replication.executionTime.Will start computing stats again.
[32m2023-04-13 13:01:48.968[0;39m [INFO] com.netflix.servo.monitor.StatsMonitor [SpringApplicationShutdownHook] Attempting to get the value for an expired monitor: eurekaServer.replication.executionTime.Will start computing stats again.
[32m2023-04-13 13:01:48.968[0;39m [INFO] com.netflix.servo.monitor.StatsMonitor [SpringApplicationShutdownHook] Attempting to get the value for an expired monitor: eurekaServer.replication.batchSize.Will start computing stats again.
[32m2023-04-13 13:01:48.982[0;39m [INFO] org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap [SpringApplicationShutdownHook] Eureka Service is now shutdown...
